bin_floor,frequency
0.0,655
4.6333333333333337,19807
9.2666666666666675,94862
13.9,359252
18.533333333333335,769249
23.166666666666668,900284
27.8,1466722
32.43333333333333,1728069
37.06666666666667,1450188
41.7,1856968
46.333333333333336,1464633
50.966666666666669,1800335
55.6,1760401
60.233333333333334,1528258
64.86666666666666,1717631
69.5,1549992
74.13333333333334,1069877
78.766666666666666,1256545
83.4,988205
88.033333333333331,628142
92.666666666666671,622339
97.3,409215
101.93333333333334,419523
106.56666666666666,305997
111.2,193078
115.83333333333333,176835
120.46666666666667,126846
125.1,86140
129.73333333333332,74656
134.36666666666667,37792
139.0,40166
143.63333333333333,30717
148.26666666666668,16036
152.9,15107
157.53333333333333,10442
162.16666666666666,6185
166.8,5728
171.43333333333334,3918
176.06666666666666,2135
180.7,1734
185.33333333333334,1041
189.96666666666667,1136
194.6,986
199.23333333333332,504
203.86666666666667,531
208.5,404
213.13333333333333,199
217.76666666666668,165
222.4,120
227.03333333333333,83
231.66666666666666,57
236.3,14
240.93333333333334,14
245.56666666666666,31
250.2,16
254.83333333333334,22
259.46666666666664,11
273.36666666666667,2
