bin_floor,frequency
0.0,40
2.7666666666666666,435
5.5333333333333332,1819
8.3,4215
11.066666666666666,4531
13.833333333333334,9161
16.6,12494
19.366666666666667,13127
22.133333333333333,9676
24.9,13517
27.666666666666668,13809
30.433333333333334,12558
33.2,8177
35.966666666666669,11757
38.733333333333334,11710
41.5,9327
44.266666666666666,10872
47.033333333333331,7069
49.8,11109
52.56666666666667,11541
55.333333333333336,10718
58.1,6814
60.866666666666667,9084
63.633333333333333,8123
66.4,6732
69.166666666666671,4721
71.933333333333337,5365
74.7,5206
77.466666666666669,3034
80.233333333333334,2127
83.0,2003
85.766666666666666,1995
88.533333333333331,1523
91.3,1265
94.066666666666663,646
96.833333333333329,862
99.6,631
102.36666666666666,524
105.13333333333334,262
107.9,295
110.66666666666667,335
113.43333333333334,214
116.2,111
118.96666666666667,115
121.73333333333333,98
124.5,74
127.26666666666667,66
130.03333333333333,23
132.8,24
135.56666666666666,19
138.33333333333334,16
141.1,11
143.86666666666667,4
146.63333333333333,3
149.4,5
152.16666666666666,1
154.93333333333334,2
160.46666666666667,2
163.23333333333332,3
