denom,odd_steps,even_steps,min_numer,natural_denom,defect,altitude,neg_share,pos_share,is_reduced,reduction_ratio
1,2,3,-5,-1,-0.1715728752538097,-5.833333333333333,32.4244,0.0,False,1
1,7,11,-17,-139,-0.02801142172610316,-35.749839999922926,34.8784,0.0,True,139
1,1,1,-1,-1,-1.0,-1.0,32.697199999999995,0.0,False,1
1,1,2,1,1,1.0,1.0,0.0,100.0,False,1
5,1,3,1,5,5.0,0.2,100.0,17.596,False,1
5,3,5,19,5,0.17480210393639917,5.6981243830207315,0.0,62.1465,False,1
5,3,5,23,5,0.17480210393639917,5.714936318023929,0.0,11.5865,False,1
5,17,27,187,5077565,0.006813307712109751,146.62686893718015,0.0,4.07075,True,1015513
5,17,27,347,5077565,0.006813307712109751,146.70851048910464,0.0,4.60025,True,1015513
7,2,4,5,7,1.0,0.9821428571428571,100.0,100.0,False,1
11,2,6,1,55,5.0,0.1590909090909091,83.9348806511935,21.71818281817182,True,5
11,3,4,-19,-11,-0.4801579002102536,-2.088382312551497,16.065119348806512,0.0,False,1
11,8,14,13,9823,0.363585661014858,2.7080704728617624,0.0,78.28181718182819,True,893
13,1,4,1,13,13.0,0.07692307692307693,100.0,51.68802974364307,False,1
13,15,24,131,2428309,0.03143313302079642,31.691053123917136,0.0,27.296422442930684,True,186793
13,5,8,211,13,0.03143313302079642,31.760338078071488,0.0,3.6089733589863586,False,1
13,5,8,259,13,0.03143313302079642,31.78738790443634,0.0,4.197649628204462,False,1
13,5,8,227,13,0.03143313302079642,31.77782700193234,0.0,2.0602586102300107,False,1
13,5,8,287,13,0.03143313302079642,31.7970904646588,0.0,4.669110637339018,False,1
13,5,8,251,13,0.03143313302079642,31.79200782921005,0.0,2.137391017974451,False,1
13,5,8,283,13,0.03143313302079642,31.80082195508643,0.0,2.7592168893973272,False,1
13,5,8,319,13,0.03143313302079642,31.807223641253525,0.0,1.5829476712946111,False,1
17,2,7,1,119,8.313708498984761,0.09803921568627451,86.3767339861281,34.85588365293077,True,7
17,4,6,-65,-17,-0.1715728752538097,-5.852044817819526,9.257063443492452,0.0,False,1
17,4,6,-73,-17,-0.1715728752538097,-5.838365948736938,4.366202570379437,0.0,False,1
17,18,31,23,1760063159,0.29944237734121026,3.2846098055511823,0.0,65.14411634706923,True,103533127
19,11,17,-115,-46075,-0.0810397886371077,-12.37142815108369,13.565680363445981,0.0,True,2425
19,5,11,5,1805,1.5947934199881404,0.5689775370321243,86.43431963655401,100.0,True,95
23,26,43,41,6254227193879,0.14671420412522096,6.638200010187995,48.72132628290773,50.000313631031915,True,271922921473
23,2,5,5,23,2.6568542494923806,0.3442028985507246,48.435503869161494,6.7541488158337675,False,1
23,12,19,-2359,-7153,-0.0033858462466369588,-295.4285867010252,0.2013511224854632,0.0,True,311
23,12,19,-2263,-7153,-0.0033858462466369588,-295.43910894235063,0.3889024795669383,0.0,True,311
23,12,19,-2743,-7153,-0.0033858462466369588,-295.41188213434833,0.39245696459523827,0.0,True,311
